Locality_ID,Region,origin,y_difficult,knn_pred_difficult,gp_pred_difficult,y_easy,knn_pred_easy,gp_pred_easy
loc_01295,Béni Mellal-Khénifra,batch3_2026,0,0,0,1,0,0
loc_01296,Béni Mellal-Khénifra,batch3_2026,0,1,0,0,0,0
loc_01297,Béni Mellal-Khénifra,batch3_2026,0,0,0,0,0,0
loc_01298,Béni Mellal-Khénifra,batch3_2026,0,0,0,0,0,0
loc_01299,Béni Mellal-Khénifra,batch3_2026,0,0,0,0,0,0
loc_01300,Béni Mellal-Khénifra,batch3_2026,0,0,1,0,0,0
loc_01301,Béni Mellal-Khénifra,batch3_2026,1,0,1,0,0,0
loc_01302,Béni Mellal-Khénifra,batch3_2026,0,0,1,0,0,0
loc_01303,Béni Mellal-Khénifra,batch3_2026,0,1,1,0,0,0
loc_01304,Béni Mellal-Khénifra,batch3_2026,0,1,1,0,0,0
loc_01305,Béni Mellal-Khénifra,batch3_2026,0,0,0,0,1,0
loc_01306,Béni Mellal-Khénifra,batch3_2026,0,0,1,0,0,0
loc_01307,Béni Mellal-Khénifra,batch3_2026,1,0,0,0,0,0
loc_01308,Béni Mellal-Khénifra,batch3_2026,1,0,0,0,0,0
loc_01309,Béni Mellal-Khénifra,batch3_2026,1,1,1,0,0,0
loc_01310,Rabat-Salé-Kénitra,batch3_2026,1,0,0,0,1,1
loc_01311,Rabat-Salé-Kénitra,batch3_2026,0,0,0,0,0,1
loc_01312,Rabat-Salé-Kénitra,batch3_2026,0,0,0,0,0,0
loc_01313,Rabat-Salé-Kénitra,batch3_2026,0,0,0,0,0,1
loc_01314,Rabat-Salé-Kénitra,batch3_2026,0,0,0,0,1,1
loc_01315,Rabat-Salé-Kénitra,batch3_2026,0,0,0,0,1,1
loc_01316,Rabat-Salé-Kénitra,batch3_2026,0,0,0,0,1,1
loc_01317,Rabat-Salé-Kénitra,batch3_2026,0,0,0,0,1,1
loc_01318,Rabat-Salé-Kénitra,batch3_2026,1,0,0,0,1,1
loc_01319,Rabat-Salé-Kénitra,batch3_2026,0,0,0,0,1,1
loc_01320,Oriental,batch3_2026,0,0,0,0,0,0
loc_01321,Oriental,batch3_2026,0,0,0,0,0,1
loc_01322,Souss-Massa,batch3_2026,0,0,0,1,1,1
