Locality_ID,Expert_Class,Region,Latitude_WGS84,Longitude_WGS84,Dist_to_Highway_m,Slope_deg,Ruggedness,Elevation_m,LULC_Friction,Dist_to_Settlement_m,Expert_Merged,origin,proba,pred,correct,y,region_threshold,pred_regiontuned
loc_00207,Moderate,Rabat-Salé-Kénitra,33.54856111111111,-6.030172222222222,258.6879037775353,11.490284717562034,12.061248527085484,1011.2996215820312,0.35,31571.53097189196,Moderate,original_733,0.1361901657286418,0,True,0,0.09,1
loc_00209,Moderate,Rabat-Salé-Kénitra,33.55333333333333,-6.070277777777777,245.71801974237928,16.379841052853482,12.895450308303202,827.38720703125,0.15,30796.59530720215,Moderate,original_733,0.1739696320604546,0,True,0,0.09,1
loc_00206,Moderate,Rabat-Salé-Kénitra,33.556780555555555,-6.039383333333333,297.6730525734667,20.928065071545408,16.832032763268337,902.5297241210938,0.15,30567.4419893282,Moderate,original_733,0.7343775139753382,1,False,0,0.09,1
loc_00222,Easy,Rabat-Salé-Kénitra,33.565216666666664,-6.749641666666666,1.6949319878538958,28.495191909957573,33.90506183214424,370.12109375,0.15,51470.22509740384,Easy,original_733,0.0193015301432231,0,True,0,0.09,0
loc_00218,Moderate,Rabat-Salé-Kénitra,33.57888888888889,-6.270833333333333,72.85062324192181,6.196516039786277,7.525026179542226,459.6910705566406,0.2,33431.706962358294,Moderate,original_733,0.1357870143205177,0,True,0,0.09,1
loc_00204,Easy,Rabat-Salé-Kénitra,33.599044444444445,-6.110261111111111,2.391769284105284,16.860323383144852,15.28032488862345,766.760986328125,0.55,25947.81554378532,Easy,original_733,0.0245225425846036,0,True,0,0.09,0
loc_00223,Easy,Rabat-Salé-Kénitra,33.61027777777778,-6.405,1452.1428009939073,6.376587451304848,12.05689409744641,305.7875366210937,0.2,32587.847713081694,Easy,original_733,0.0953458624838708,0,True,0,0.09,1
loc_00221,Easy,Rabat-Salé-Kénitra,33.621944444444445,-6.416666666666667,95.01997152646516,5.605332461834372,4.567215722454481,236.5865631103516,0.2,31631.48179600992,Easy,original_733,0.1971863888777782,0,True,0,0.09,1
loc_00219,Easy,Rabat-Salé-Kénitra,33.64218611111111,-6.135827777777778,4.703701814417141,10.633240768210394,10.385490480533315,506.6870727539063,0.15,21717.539465801623,Easy,original_733,0.0113566953929569,0,True,0,0.09,0
loc_00217,Easy,Rabat-Salé-Kénitra,33.644644444444445,-6.143858333333334,0.5971327671255368,18.999313546700787,19.11281566777505,456.5656433105469,0.55,21668.50630404574,Easy,original_733,0.0236229635481104,0,True,0,0.09,0
loc_00220,Moderate,Rabat-Salé-Kénitra,33.686030555555554,-6.443472222222223,1.2892714245305898,10.551808625190333,13.20045307254003,429.4542541503906,0.2,25922.984866413182,Moderate,original_733,0.0137429016374402,0,True,0,0.09,0
loc_00106,Moderate,Souss-Massa,29.06027,-8.925848,4139.968955424041,0.8771481501016923,0.7460352369576446,543.4288940429688,0.1,105493.02169167464,Moderate,original_733,0.7314175880857869,1,False,0,0.26,1
loc_00105,Moderate,Souss-Massa,29.086675,-8.85169,2772.605326220272,0.752924066313655,0.3279065849367252,532.5695190429688,0.1,109049.70301424002,Moderate,original_733,0.0604299333147794,0,True,0,0.26,0
loc_00131,Difficult,Souss-Massa,29.167098,-8.958087,55.25841346497987,17.673320572633347,20.60880197572314,684.3395385742188,0.1,95393.27965284909,Difficult,original_733,0.0569985225586746,0,False,1,0.26,0
loc_00133,Moderate,Souss-Massa,29.21444444444444,-8.233055555555556,9500.309283786615,10.60281612870176,12.926857435998835,496.9561767578125,0.1,64412.89380571784,Moderate,original_733,0.1861573448322308,0,True,0,0.26,0
loc_00129,Moderate,Souss-Massa,29.254602,-8.694864,63.11248821405194,25.56594265965004,26.830497300329288,589.399169921875,0.1,88976.98098486787,Moderate,original_733,0.1009766423723082,0,True,0,0.26,0
loc_00092,Moderate,Souss-Massa,29.270107,-8.678496,2227.558329098932,32.48429056559153,35.3710579359827,731.8260498046875,0.1,86664.52585776061,Moderate,original_733,0.0388683138745591,0,True,0,0.26,0
loc_00095,Moderate,Souss-Massa,29.270107,-8.678496,2227.558329098932,32.48429056559153,35.3710579359827,731.8260498046875,0.1,86664.52585776061,Moderate,original_733,0.0388683138745591,0,True,0,0.26,0
loc_00139,Moderate,Souss-Massa,29.32638888888889,-8.531111111111112,2857.5015722555013,22.16652854937555,25.21187824848269,851.4248657226562,0.1,71637.99555993568,Moderate,original_733,0.0318173743146783,0,True,0,0.26,0
loc_00096,Easy,Souss-Massa,29.442398,-8.264208,594.1015242518711,23.01795212932434,30.47660487151343,614.5865478515625,0.1,44204.01319685871,Easy,original_733,0.1244608341389721,0,True,0,0.26,0
