Locality_ID,Geosite_Name,Latitude_WGS84,Longitude_WGS84,Region,Geosite_Type,Elevation_m,Slope_deg,Ruggedness,Dist_to_Highway_m,LULC_Friction,Dist_to_Settlement_m,Geology_Class,Soil_Class
loc_00014,Al Manar Forest,35.8168801,-5.7486307,Tanger-Al Hoceima,,56.666255950927734,14.950158706404629,9.33683464050293,1092.0797441326217,0.55,7208.5750093984725,82.0,3.0
loc_00015,Marisat Forest,35.7961267,-5.7491829,Tanger-Al Hoceima,,73.64360809326172,10.817208410707291,6.281980590820313,177.50792895820217,0.55,5705.89200222427,82.0,3.0
loc_00016,Tangier balya Forest,35.7773448,-5.7711325,Tanger-Al Hoceima,,21.406381607055664,10.401925082680348,6.694543495178222,269.95841758572794,0.55,3030.677603225846,82.0,10.0
loc_00017,Rmilat Forest,35.7929606,-5.8624116,Tanger-Al Hoceima,,97.7577896118164,16.62523643183836,9.133133239746094,730.4660967697015,0.55,5925.644371125846,82.0,10.0
loc_00018,Rharha Forest,35.7619967,-5.8731593,Tanger-Al Hoceima,,167.66921997070312,7.703347710493741,5.233487548828125,1434.4073748143014,0.55,6355.281776846812,70.0,3.0
loc_00019,Mediouna Forest,35.7821557,-5.8925229,Tanger-Al Hoceima,,251.91468811035156,6.039799330993575,3.228021240234375,2369.5166546893934,0.55,8164.0831937544535,82.0,10.0
loc_00020,Boubana Forest,35.7719636,-5.8927079,Tanger-Al Hoceima,,160.393798828125,11.234477262956698,6.183397216796875,2262.021123045404,0.15,8065.784748080943,70.0,3.0
loc_00021,Cape Spartel Reserve,35.6759744,-5.9462552,Tanger-Al Hoceima,,15.92078685760498,4.077882711962968,1.7221918487548828,813.4042155863011,0.55,16579.273762273704,24.0,2.0
loc_00022,Diplomatic Forest,35.6759744,-5.9462552,Tanger-Al Hoceima,,15.92078685760498,4.077882711962968,1.7221918487548828,813.4042155863011,0.55,16579.273762273704,24.0,2.0
loc_00023,Jumjum Rock,35.7899743,-5.8497473,Tanger-Al Hoceima,,211.28036499023438,4.816186669596463,1.852655029296875,1088.4064094911857,0.55,4757.496765429898,82.0,10.0
loc_00024,Gherab Rock,35.7946454,-5.85792,Tanger-Al Hoceima,,156.9490203857422,29.054066787002483,17.821575927734376,1132.2546634042462,0.55,5653.918802263087,82.0,10.0
loc_00025,Sutooh Rock,35.7627783,-5.8885488,Tanger-Al Hoceima,,184.09532165527344,16.20523612600858,9.591492919921874,1546.5732867377092,0.15,7724.489388130813,70.0,3.0
loc_00026,Bouhendia Rock,35.788318,-5.9291816,Tanger-Al Hoceima,,18.76886558532715,10.520110231471799,14.126584391593934,1407.7155285614174,0.1,11539.711388819027,82.0,10.0
loc_00027,Ras Aghmat,35.7974277,-5.8416951,Tanger-Al Hoceima,,6.743388652801514,14.224688589585073,8.540419301986695,855.0873876830976,0.15,4638.602767414666,82.0,10.0
loc_00028,Hafa Rock,35.7913075,-5.8203332,Tanger-Al Hoceima,,40.32470703125,26.166405568315255,18.7579638671875,81.58742743482618,0.15,2855.9679465775657,82.0,10.0
loc_00029,Maghayir Lake,35.7536291,-5.8957438,Tanger-Al Hoceima,,56.5,0.060333037673026155,0.011687469482421876,365.08389010545375,0.9,8524.224096583714,32.0,3.0
loc_00030,Sidi Hassain Lake,35.6980445,-5.8249996,Tanger-Al Hoceima,,32.1468505859375,3.1180500686773116,1.3880482482910157,252.25370007168232,0.2,8196.272030770922,32.0,8.0
loc_00031,Tahadart River,35.6253683,-5.9412174,Tanger-Al Hoceima,,1.1337740421295166,0.2679612133108748,0.08285295724868774,1631.338274592858,0.75,20116.488441464822,24.0,2.0
loc_00032,Rharha Lake,35.7691304,-5.8578318,Tanger-Al Hoceima,,47.095603942871094,12.175003708336977,6.238862457275391,110.37274619677238,0.9,4915.514272769597,82.0,10.0
loc_00033,Al Manar Fortress,35.814639,-5.7393475,Tanger-Al Hoceima,,77.13168334960938,7.693558186150712,6.3363818359375,310.15582718910827,0.15,7640.289270133245,82.0,3.0
loc_00034,Ghailan Fort,35.7795848,-5.7715313,Tanger-Al Hoceima,,1.0952297449111938,2.4315380532476563,1.5260517978668213,42.762762941295094,0.15,3076.7315909344998,82.0,10.0
loc_00035,Villa Harris,35.7830876,-5.7652395,Tanger-Al Hoceima,,5.645830154418945,2.6418885156637075,1.6356513595581055,8.149335619313545,0.15,3749.7784640233367,82.0,10.0
loc_00036,Dar El Baroud Tower,35.7886196,-5.8081714,Tanger-Al Hoceima,,6.518589496612549,9.40733712925638,4.069520509243011,19.89462180638969,0.1,2155.8144483298993,82.0,10.0
loc_00037,Bab Dar Debbagh,35.7860073,-5.8094098,Tanger-Al Hoceima,,17.047887802124023,12.278118893737147,7.187767972946167,121.4738218583992,0.05,1901.2753397601966,82.0,10.0
loc_00038,Bab El Marsa,35.7842141,-5.8085094,Tanger-Al Hoceima,,12.220504760742188,13.415458985507728,8.126784448623658,59.22889638150789,0.1,1687.0739342601119,82.0,10.0
loc_00039,Bab El Fahs,35.7847304,-5.8129131,Tanger-Al Hoceima,,45.52054977416992,4.718500361146556,2.4843380737304686,414.0358238484215,0.05,1887.6394269784785,82.0,10.0
