Geological domain,Administrative region,Auteurs,Titre,Evaluated geosites,Geosite's type,Coordinates,,,,,,,,,,,
,,,,Chedifat-Tit Ouagma,,"33°17'56.24""N","5° 8'12.48""W",,,,,,,,,,
,,,,Bou Teguerouine,,"33°17'0.52""N","5° 6'23.63""W",,,,,,,,,,
,,,,Sidi Aziz,,"33°15'51.75""N","5° 3'20.21""W",,,,,,,,,,
,,,,Trou de Ifri-Ouska,,"33°17'29.77""N","5°11'40.50""W",,,,,,,,,,
,,,,Dayet Aoua,,"33°38'22.48""N","5° 2'17.24""W",,,,,,,,,,
,,,,Tidrine,,"33°29'32.83""N","5° 3'19.92""W",,,,,,,,,,
,,,,Dayet Hachlaff,,"33°33'18.82""N","4°58'32.34""W",,,,,,,,,,
,,,,Tisfoula,,"33°14'26.83""N","5°21'23.74""W",,,,,,,,,,
,,,,Afennourir,,"33°15'14.77""N","5°16'20.49""W",,,,,,,,,,
,,,,Dayet Ifrah,,"33°31'47.54""N","4°58'46.63""W",,,,,,,,,,
,,,,Polje de Ouiouane,,"33°31'54.91""N","4°59'1.18""W",,,,,,,,,,
,,,,Bassin de Agoulmam,,"33°30'28.10""N","4°58'50.41""W",,,,,,,,,,
,,,,Doline de Moutferraoun,,"33°29'35.23""N","4°58'56.54""W",,,,,,,,,,
,,,,Trou de la Panthe`re,,"33°12'16.52""N","5°12'32.42""W",,,,,,,,,,
,,,,Aguelmam Azigza,,"33°11'27.78""N","5°24'53.23""W",,,,,,,,,,
,,,,Tichilite,,"33°19'36.07""N","5° 9'50.47""W",,,,,,,,,,
,,,,Ifri-ou-Berid,,"33°12'2.57""N","5°17'25.12""W",,,,,,,,,,
,,,,Source Vittel,,"33°32'51.79""N","5° 6'38.04""W",,,,,,,,,,
,,,,Cascades des Vierges,,"33°33'42.65""N","5° 7'9.79""W",,,,,,,,,,
,,,,Ifrane Zaouia,,"33°10'58.91""N","5°23'39.65""W",,,,,,,,,,
,,,,Terrasses d’El Hajeb,,"33°41'23.64""N","5°21'14.09""W",,,,,,,,,,
,,,,Jbel Irhoud,,"33°17'3.73""N","5°18'21.29""W",,,,,,,,,,
,,,,Sources Oum Er Rbia,,"33°10'49.18""N","5°25'29.48""W",,,,,,,,,,
,,,,Gorge de Azra Azegarh,,"33°44'54.51""N","5°13'50.55""W",,,,,,,,,,
,,,,Méandre Oued Akkous,,"33°47'0.91""N","5°15'15.54""W",,,,,,,,,,
,,,,Gorge de l’Oued Defali,,"33°37'24.57""N","5°26'22.10""W",,,,,,,,,,
,,,,Village Bou Youssef,,"33°43'9.39""N","5°19'5.30""W",,,,,,,,,,
,,,,Mohamed Messaoud,,"33°35'37.08""N","5°22'31.35""W",,,,,,,,,,
,,,,Paysage d’Ito,,"33°31'17.03""N","5°18'56.12""W",,,,,,,,,,
,,,,Creˆte de Tizra,,"33°33'10.80""N","5°25'31.94""W",,,,,,,,,,
,,,,Tammeroit,,"33°13'35.43""N","5°25'35.38""W",,,,,,,,,,
,,,,Balcon de Timahdite,,"33°16'10.07""N","5° 0'21.35""W",,,,,,,,,,
,,,,Chevrons Timahdite,,"33°16'16.24""N","4°56'18.79""W",,,,,,,,,,
,,,,Azrou unconformity,,"33°25'5.95""N","5° 9'49.94""W",,,,,,,,,,
,,,,Douar Caid Ait Ouahi,,"33°19'26.66""N","5°13'52.26""W",,,,,,,,,,
Meseta,Rabat-Sale-Kenitra,"Berred et al., 2022",Inventorying Rabat‑Salé‑Kénitra Region’s Geological Heritage Within Central Morocco: a Useful Tool for Developing Regional Geotourism Activity,Sidi Boulknadel pipes,,"34° 7'35.52""N","6°45'21.10""W",,,,,,,,,,
,,,,Carboniferous hills of Korifla river panorama,,"33°44'27.34""N","6°44'47.52""W",,,,,,,,,,
,,,,Lower Devonian carbonate concretion east of Ezzehiliga,,"33°18'36.09""N","6°32'34.89""W",,,,,,,,,,
,,,,Normal fault of El Malha river,,"34°34'33.68""N","5°28'49.80""W",,,,,,,,,,
,,,,Pillow lava of Malha valley,,"34°23'40.33""N","5°22'59.40""W",,,,,,,,,,
,,,,Volcanic flow of Boulhmayl river,,"34°23'35.72""N","6°28'9.58""W",,,,,,,,,,
,,,,Gayville beach potholes,,"33°56'12.46""N","6°56'46.60""W",,,,,,,,,,
,,,,Koudiat Ech-Cherif,,"34° 1'52.76""N","6°50'36.61""W",,,,,,,,,,
,,,,Sebt-Merchouch plateau Angular Unconformity,,"33°50'54.86""N","6°57'57.76""W",,,,,,,,,,
,,,,Zaër granite,,"34°33'15.54""N","5°52'27.62""W",,,,,,,,,,
,,,,Jbel Moghrane's Westphalian Molasse,,"34°23'24.06""N","6°28'11.97""W",,,,,,,,,,
,,,,Stratotype GSSP Tortonian- Messinian Limit,,"33°56'10.68""N","6°47'19.83""W",,,,,,,,,,
Middle Atlas,Oriental,"Redouane et al., 2024",Volcanic Geoheritage at the Northeastern of Morocco: Selected Sites of Oujda and Guercif (Jorf Lakhdar and Guilliz),Jorf Lakhdar Geosite,,"34°44'26.76""N","2° 2'41.70""W",,,,,,,,,,
,,,,Guilliz Geosite,,"34°28'40.39""N","3°20'31.19""W",,,,,,,,,,
