Excel_Row_Index,Geosite_Name,Geosite_Type,Geological_Domain,Administrative_Region,Latitude_WGS84,Longitude_WGS84,Coordinate_Extraction_Method,Elevation_m,Slope_deg,Ruggedness,Dist_to_Dam_m,Dist_to_River_m,LULC_Class,Soil_Class,Geology_Class,Dist_to_Highway_m,Dist_to_Piste_m
105,Sidi Tiji Gypsum quarry,S&St,Meseta,Marrakech-Safi,32.157777777777774,-8.865277777777777,Numeric DMS,513.1428833007812,3.5045289993286133,100.51461029052734,6856.568359375,8750.0595703125,10.0,8.0,10.0,1183.4320068359375,0.0
106,Jorf Lihoudi,"S,St&PL",Meseta,Marrakech-Safi,32.18,-9.26,Numeric DMS,122.18877410888672,1.0710920095443726,33.79560089111328,21538.458984375,4966.74560546875,15.0,3.0,45.0,0.0,0.0
107,The lagoon of Oualidia,H,Meseta,Marrakech-Safi,32.73916666666667,-9.036944444444444,Numeric DMS,122.18877410888672,0.3937808871269226,15.48575496673584,14900.2373046875,15599.2890625,4.0,3.0,69.0,1183.4320068359375,1183.4320068359375
108,Panoramic view of the cliff,G,Meseta,Marrakech-Safi,32.30027777777777,-9.251111111111111,Numeric DMS,163.3418426513672,1.3409453630447388,36.214691162109375,14667.2197265625,4256.6865234375,4.0,3.0,45.0,0.0,1183.4320068359375
109,beach of Sidi Bouzide,G,Meseta,Marrakech-Safi,,,No coordinates,,,,,,,,,,
110,Marine fauna of the lower limestone,PL&S,Meseta,Marrakech-Safi,,,No coordinates,,,,,,,,,,
111, Yellow dolomite lower limestone Contact,S&SG,Meseta,Marrakech-Safi,,,No coordinates,,,,,,,,,,
112,Brown clay marine faun in the intercalated banks,PL&S,Meseta,Marrakech-Safi,,,No coordinates,,,,,,,,,,
113,The source Lalla Mira,H,Meseta,Marrakech-Safi,,,No coordinates,,,,,,,,,,
114,The wave of Saf,G,Meseta,Marrakech-Safi,,,No coordinates,,,,,,,,,,
115,Marabout Sidi Bouzid,R,Meseta,Marrakech-Safi,,,No coordinates,,,,,,,,,,
116,The marine fauna presented in the banks,PL,Meseta,Marrakech-Safi,,,No coordinates,,,,,,,,,,
117,Lake Afourgagh- charophytes tufas & gyrogonites,"SG,H & PL",Tabular Middle Atlas,Draa-Tafilalet & Fès-Méknès,33.61666666666667,-4.883333333333333,DMS,1830.040771484375,1.6609245538711548,69.46762084960938,16313.0166015625,1656.8048095703125,15.0,9.0,,1183.4320068359375,0.0
118,Lake Aoua (Dayet Aoua),SG&H,Tabular Middle Atlas,Draa-Tafilalet & Fès-Méknès,33.65555555555555,-5.333333333333333,DMS,1480.23974609375,1.2325599193572998,68.73500061035156,18916.568359375,4733.72802734375,11.0,3.0,56.0,2366.864013671875,1183.4320068359375
119,Lake Ifrah (Dayet Ifrah),SG&H,Tabular Middle Atlas,Draa-Tafilalet & Fès-Méknès,33.5625,-4.916666666666667,DMS,1871.19384765625,0.7260700464248657,70.8307876586914,11116.9228515625,1183.4320068359375,11.0,9.0,58.0,1183.4320068359375,1183.4320068359375
120,Lake Aguelmame Sidi Ali,SG&H,Tabular Middle Atlas,Draa-Tafilalet & Fès-Méknès,33.07611111111112,-5.003611111111111,Numeric DMS,1830.040771484375,2.393920660018921,48.87739944458008,4256.6865234375,1183.4320068359375,10.0,6.0,,1673.6256103515625,1183.4320068359375
121,Bou Tegrrouine,G,Tabular Middle Atlas,Draa-Tafilalet & Fès-Méknès,,,No coordinates,,,,,,,,,,
122,The caldera of the Michliffen,G,Tabular Middle Atlas,Draa-Tafilalet & Fès-Méknès,,,No coordinates,,,,,,,,,,
123,Ruiniform landscape,G,Tabular Middle Atlas,Draa-Tafilalet & Fès-Méknès,,,No coordinates,,,,,,,,,,
124,Alluvial terraces of Aït Mallal,G,Central Hight Atlas,Béni Mellal-Khénifra ,,,No coordinates,,,,,,,,,,
125,Aït Mallal valley,G,Central Hight Atlas,Béni Mellal-Khénifra ,,,No coordinates,,,,,,,,,,
126,Badlands of Igoulouane,G,Central Hight Atlas,Béni Mellal-Khénifra ,,,No coordinates,,,,,,,,,,
127, Arouss valley,G,Central Hight Atlas,Béni Mellal-Khénifra ,,,No coordinates,,,,,,,,,,
128, Canyon of Rougoult valley,G,Central Hight Atlas,Béni Mellal-Khénifra ,,,No coordinates,,,,,,,,,,
129,Canyon of Abachkou valley,G,Central Hight Atlas,Béni Mellal-Khénifra ,,,No coordinates,,,,,,,,,,
130,Canyon of High-Tessaout valley,G,Central Hight Atlas,Béni Mellal-Khénifra ,,,No coordinates,,,,,,,,,,
131,Glacial cirques and U-shaped valleys of Rat mountain,G,Central Hight Atlas,Béni Mellal-Khénifra ,,,No coordinates,,,,,,,,,,
132,Scree and talus deposits of Rat mountain,G,Central Hight Atlas,Béni Mellal-Khénifra ,,,No coordinates,,,,,,,,,,
133,Scree and talus deposits of Tarkeddid mountain,G,Central Hight Atlas,Béni Mellal-Khénifra ,,,No coordinates,,,,,,,,,,
134,Fairy chimneys of Assamar,G,Central Hight Atlas,Béni Mellal-Khénifra ,,,No coordinates,,,,,,,,,,
135,Canyon of Ikiss,G,Central Hight Atlas,Béni Mellal-Khénifra ,,,No coordinates,,,,,,,,,,
136,Rat syncline,G,Central Hight Atlas,Béni Mellal-Khénifra ,,,No coordinates,,,,,,,,,,
137,Peak and cliffs of Tarkeddid mountain,G,Central Hight Atlas,Béni Mellal-Khénifra ,,,No coordinates,,,,,,,,,,
138,Mount M’goun (4068 m),G,Central Hight Atlas,Béni Mellal-Khénifra ,,,No coordinates,,,,,,,,,,
139,The unconformity between Paleozoic basement and Mesozoic sedimentary cover of Aït Mallal,G,Central Hight Atlas,Béni Mellal-Khénifra ,,,No coordinates,,,,,,,,,,
140,,G,Central Hight Atlas,Béni Mellal-Khénifra ,,,No coordinates,,,,,,,,,,
141,Rougoult waterfall,G,Central Hight Atlas,Béni Mellal-Khénifra ,,,No coordinates,,,,,,,,,,
142,Springs of Oued Lakhdar (green river),G,Central Hight Atlas,Béni Mellal-Khénifra ,,,No coordinates,,,,,,,,,,
143,Springs and waterfall of Ikiss,G,Central Hight Atlas,Béni Mellal-Khénifra ,,,No coordinates,,,,,,,,,,
144,Sinkholes of the Rat mountain,G,Central Hight Atlas,Béni Mellal-Khénifra ,,,No coordinates,,,,,,,,,,
145,Dinosaur footprints deposits of Iouaridene,PL,Central Hight Atlas,Béni Mellal-Khénifra,,,No coordinates,,,,,,,,,,
146,Dinosaur footprints deposits of  Ait Mimoun Ouffelah,PL,Central Hight Atlas,Béni Mellal-Khénifra,,,No coordinates,,,,,,,,,,
147,Dinosaur footprints deposits of Ait Bouguemaz,PL,Central Hight Atlas,Béni Mellal-Khénifra,,,No coordinates,,,,,,,,,,
